IBOV;;;CDB;PETR36;CPLD26;TAEE26;ITSA24;;Média diária;Média Carteira Privada;;;2026;2028;IBOV;Média carteira pública;;;Média carteira total;;;Selic2026;Selic2028;Pre2024Primeiro;Pre2024Segundo;Ipca2026
0,000169155;;;0,000437393;0,001049326;0,006428512;0,007038187;0,000537364;;0,000743359;0,000969774;1.000.969.774;;0,000488621;0,000461643;0,000169155;0,000480528;1.000.480.528;;0,000725151;1.000.725.151;;0,0004373899480032940;0,0004616430449618190;-0,0023290358776495400;-0,0035845798699137600;-0,0047947258016183500
-0,00287759;;;0,000437392;0,000935557;-0,000288746;-0,002082154;0,000486873;;0,000686474;0,000870795;1.000.870.795;;0,000527793;0,000390906;-0,00287759;0,000486727;1.000.486.727;;0,000678761;1.000.678.761;;0,0003550310542058550;0,0003909059805318670;0,0023389205244972100;0,0026007985698198300;-0,0014703338522745900
0,010727339;;;0,000437392;0,000890395;-0,000681601;-0,001022973;0,000510108;;0,000663894;0,000831505;1.000.831.505;;0,000449443;0,000444464;0,010727339;0,000447949;1.000.447.949;;0,000639727;1.000.639.727;;0,0003710955607943460;0,0004444639836649970;0,0037865423042759900;0,0055264452012480400;-0,0002309802223185460
0,002060021;;;0,000437393;0,000509167;0,000535499;-0,003336603;0,000192751;;0,00047328;0,000499836;1.000.499.836;;0,00043739;0,00042021;0,002060021;0,000432236;1.000.432.236;;0,000466036;1.000.466.036;;0,0003992180582098080;0,0004202104784727860;0,0006225536646926390;0,0007328900650398320;0,0068539963997266500
-0,002158396;;;0,000437393;0,000887736;-7,14E-05;0,001752488;0,000553142;;0,000662565;0,000829192;1.000.829.192;;0,000355031;0,00027974;-0,002158396;0,000332444;1.000.332.444;;0,000580818;1.000.580.818;;0,0004142849157291700;0,0002797396005901040;-0,0023507802991561600;-0,0035428004579798900;0,0001880304290599900
0,013066806;;;0,000437392;0,00102593;0,008371182;0,010216889;0,000442676;;0,000731661;0,00094942;100.094.942;;0,000371096;0,000174598;0,013066806;0,000312146;1.000.312.146;;0,000630783;1.000.630.783;;0,0002816788723936920;0,0001745978541274690;-0,0015261788968299400;-0,0021989855521926900;-0,0043525640617134700
-0,002383172;;;0,000437392;0,000609145;0,004735105;0,005069872;0,000763527;;0,000523268;0,000586817;1.000.586.817;;0,000399218;0,000202837;-0,002383172;0,000340304;1.000.340.304;;0,00046356;100.046.356;;0,0001972559721817460;0,0002028370083495640;-0,0003858619992615330;-0,0015844122485544600;0,0022658030159503500
-0,019740132;;;0,000437392;0,000265618;-0,00655985;-0,006503955;0,001044485;;0,000351505;0,000287949;1.000.287.949;;0,000414285;0,000316041;-0,019740132;0,000384812;1.000.384.812;;0,00033638;100.033.638;;0,0003298564841735700;0,0003160410058010700;-0,0037012941230012600;-0,0050542079705660000;0,0014560316750750200
-0,00554501;;;0,000437392;-0,000068537;0,001729336;0,001131276;0,000807362;;0,000184427;-2,77E-06;0,999997234;;0,000281679;0,000297822;-0,00554501;0,000286522;1.000.286.522;;0,000141878;1.000.141.878;;0,0002826056006293710;0,0002978218153147940;-0,0026919180189822000;-0,0034875508824960100;-0,0021649300462956900
0,005374873;;;0,000437392;0,000489788;0,003850726;0,002658108;-4,38E-05;;0,00046359;0,000482976;1.000.482.976;;0,000197256;0,000298814;0,005374873;0,000227723;1.000.227.723;;0,00035535;100.035.535;;0,0002524240570750940;0,0002988136463614020;-0,0000433940440792461;-0,0000381900971735183;-0,0021568458286601700
-0,004552358;;;0,000437393;0,000308623;-0,004844113;-0,005264761;0,000220571;;0,000373008;0,000325363;1.000.325.363;;0,000329856;0,000152106;-0,004552358;0,000276531;1.000.276.531;;0,000300947;1.000.300.947;;0,0001759768172218020;0,0001521060828829020;0,0002510996945361080;-0,0002922268584315980;-0,0025617871026828300
-0,011468945;;;0,000437393;0,000715373;-0,007787897;-0,008864395;0,000327797;;0,000576383;0,000679235;1.000.679.235;;0,000282606;0,000263337;-0,011468945;0,000276825;1.000.276.825;;0,00047803;100.047.803;;0,0003730253200096240;0,0002633373240616390;-0,0009540051500835670;-0,0017458035218804900;0,0028829916335454400
-0,006956878;;;0,000437393;0,000551148;5,53E-05;0,000978159;0,000304319;;0,00049427;0,00053636;100.053.636;;0,000252424;0,000287598;-0,006956878;0,000262976;1.000.262.976;;0,000399668;1.000.399.668;;0,0002764679079066020;0,0002875977962362290;0,0023659374097916900;0,0025842815615272900;-0,0025705871054485600
0,005436433;;;0,000437392;0,000590625;0,00545476;0,001403149;0,000839149;;0,000514009;0,000570705;1.000.570.705;;0,000175977;-4,97E-06;0,005436433;0,000121693;1.000.121.693;;0,000346199;1.000.346.199;;0,0001617666386612120;-0,0000049684157984668;0,0004504921516412750;0,0004580027395893470;0,0066339941651662600
-0,005133621;;;0,000437393;0,000486034;-0,001300882;-0,001133354;8,83E-05;;0,000461714;0,000479711;1.000.479.711;;0,000373025;-0,000370752;-0,005133621;0,000149892;1.000.149.892;;0,000314802;1.000.314.802;;0,0001083619959296590;-0,0003707520710410640;0,0006545805698462070;0,0010288702133973300;-0,0005196974914234320
-0,004257645;;;0,000437393;0,000637016;0,004826597;0,004835886;0,000645751;;0,000537204;0,000611065;1.000.611.065;;0,000276468;0,000411038;-0,004257645;0,000316839;1.000.316.839;;0,000463952;1.000.463.952;;0,0003508280770042870;0,0004110382289227490;0,0000075715143777509;-0,0010740275005871100;-0,0019012316535930500
-0,005448238;;;0,000437392;0,000484022;0,004568969;0,001432175;0,000589816;;0,000460707;0,00047796;100.047.796;;0,000161767;0,000463742;-0,005448238;0,000252359;1.000.252.359;;0,00036516;100.036.516;;0,0003941054244447740;0,0004637424691161570;0,0024436715270829200;0,0032605097906136200;0,0025089090240823000
-0,006200076;;;0,000437393;0,000375275;0,002507957;0,000893533;0,000437237;;0,000406334;0,000383351;1.000.383.351;;0,000108362;0,000906654;-0,006200076;0,000347849;1.000.347.849;;0,0003656;10.003.656;;0,0003206169907987390;0,0009066535354152170;-0,0015545318367316000;-0,0024214201024816200;0,0008671533777537710
-0,028567043;;;0,000437392;0,000433945;-0,003674173;-0,00352809;0,000455504;;0,000435668;0,000434393;1.000.434.393;;0,000350828;0,000625818;-0,028567043;0,000433325;1.000.433.325;;0,000433859;1.000.433.859;;0,0003749695955035720;0,0006258178123027290;0,0030261989125160600;0,0037319995851732700;-0,0007676577202157900
-0,00353467;;;0,000437392;0,000804555;0,001463684;0,002336538;0,000436877;;0,000620974;0,000756824;1.000.756.824;;0,000394105;0,001069416;-0,00353467;0,000596699;1.000.596.699;;0,000676761;1.000.676.761;;0,0004555131911143590;0,0010694159646523600;-0,0002319984545560550;0,0000750038596801261;-0,0007459332294127670
-0,022316639;;;0,000437393;0,000835401;-0,003731047;-0,000978064;0,000384725;;0,000636397;0,00078366;100.078.366;;0,000320617;0,000625663;-0,022316639;0,000412131;1.000.412.131;;0,000597895;1.000.597.895;;0,0005169292564506600;0,0006256634361247800;0,0005347849786957160;0,0005547800846497570;0,0035952747817154500
0,010487263;;;0,000437392;0,000863619;0,00327502;0,00286342;0,000455551;;0,000650506;0,00080821;100.080.821;;0,00037497;0,00056693;0,010487263;0,000432558;1.000.432.558;;0,000620384;1.000.620.384;;0,0004595383766828400;0,0005669301804704680;-0,0010167368403812000;-0,0016496371600091400;-0,0031373770637710500
0,005240377;;;0,000437392;0,000620446;0,003048999;0,0025229;0,000479431;;0,000528919;0,000596649;1.000.596.649;;0,000455513;0,000503164;0,005240377;0,000469808;1.000.469.808;;0,000533228;1.000.533.228;;0,0004736320347959470;0,0005031635401308030;0,0003966066475845800;0,0002769980557644780;-0,0011001029951500700
-0,018612102;;;0,000437392;0,000525522;-0,000701368;-0,000724744;0,0004999;;0,000481457;0,000514065;1.000.514.065;;0,000516929;0,000566905;-0,018612102;0,000531922;1.000.531.922;;0,000522993;1.000.522.993;;0,0005551723573385190;0,0005669048978070380;0,0019678702158962500;0,0023665098546531800;-0,0002904916651237160
-0,011460365;;;0,000437393;0,000487605;-0,001671254;-0,004026827;0,00032673;;0,000462499;0,000481078;1.000.481.078;;0,000459538;0,000642766;-0,011460365;0,000514507;1.000.514.507;;0,000497792;1.000.497.792;;0,0005269746423630810;0,0006427658404444340;-0,0038519123948994300;-0,0050291544469644600;0,0054059922534333800
-0,001035823;;;0,000437393;0,000608595;0,000270193;-0,000548324;0,00049704;;0,000522994;0,000586339;1.000.586.339;;0,000473632;0,00067105;-0,001035823;0,000532857;1.000.532.857;;0,000559598;1.000.559.598;;0,0005865260187494180;0,0006710501994841870;-0,0019924615183973100;-0,0033733432118100900;-0,0041128868336805200
